price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
118627,51.0,10,2,75,15,31,9,0,0,181,4412,478,1100,3,5,3,0,2,1,4,1,0,0,50,49,45,40,7,1,16,1,16,4,2,3,1,119,21,1,0,4,0,1,0,139,67
204590,68.4,27,8,38,8,231,84,1,1,288,1645,326,600,2,3,10,5,12,1,49,16,3,0,56,58,50,52,63,13,199,81,141,16,1,4,1,546,203,1,0,7,3,5,2,321,61
240506,47.4,14,12,39,18,32,26,0,0,232,6221,2813,200,11,11,3,0,1,0,1,1,3,2,58,52,57,50,3,2,14,6,7,3,1,0,0,119,78,1,1,7,3,0,0,217,90
256097,41.0,56,16,72,25,467,100,4,3,114,188,122,300,2,4,7,4,5,2,152,22,17,0,51,48,40,35,201,34,328,80,106,41,1,7,1,906,156,3,1,18,6,6,3,380,99
116847,73.6,66,26,97,36,522,189,6,3,222,1065,464,300,4,5,10,2,9,1,194,96,12,3,52,51,40,40,172,54,315,135,71,14,2,12,3,1262,479,4,4,15,7,4,0,435,289
170500,76.0,2,0,49,18,11,1,0,0,177,4480,1048,1300,6,10,0,0,1,0,1,0,2,0,61,72,55,55,1,0,5,2,4,0,1,0,0,35,3,0,0,0,0,0,0,143,16
189189,74.0,58,12,95,13,417,145,5,1,53,1136,20,200,3,4,6,2,9,7,151,37,12,4,50,54,40,45,135,47,287,72,49,13,1,9,2,1116,342,7,2,18,7,1,0,422,113
203144,63.6,7,5,49,18,41,24,0,0,62,3935,1193,500,8,9,3,2,2,1,2,2,5,2,55,51,46,45,2,1,26,8,17,3,1,0,0,103,79,1,0,16,5,1,1,212,79
245333,75.0,13,7,84,20,88,30,1,0,181,4131,731,300,4,10,2,1,3,1,8,1,3,1,59,62,50,50,18,1,34,8,12,4,1,1,0,255,98,1,1,0,0,1,1,250,183
239130,46.0,2,2,16,0,15,1,0,0,740,5443,704,900,7,15,0,0,2,0,0,0,1,1,64,66,50,60,3,1,12,3,3,0,1,1,0,34,5,0,0,2,0,0,0,190,24
