price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
86614,127.0,11,4,34,8,33,12,0,0,177,8787,126,1900,2,7,6,0,1,0,2,2,0,0,42,41,40,41,5,0,6,2,15,2,3,1,1,25,6,0,0,11,4,3,2,96,64
61290,62.0,3,1,8,0,3,2,0,0,628,2388,437,4500,1,10,0,0,1,0,1,0,1,1,38,39,41,42,2,2,1,1,0,0,2,1,1,38,27,0,0,1,0,0,0,10,9
72327,159.0,8,2,38,10,33,12,0,0,282,6775,730,500,17,22,3,1,4,0,2,1,1,1,37,32,28,28,5,2,17,9,11,7,3,4,0,55,18,2,0,13,3,0,0,103,43
56765,64.3,4,1,19,7,10,1,0,0,120,5697,339,5100,20,27,4,0,4,0,2,0,0,0,31,36,28,36,1,0,1,0,1,1,2,1,1,74,24,1,1,3,0,1,0,25,14
90551,127.0,4,1,37,9,22,7,0,0,264,11010,291,4100,7,9,5,3,0,0,3,2,0,0,35,32,26,28,3,1,5,3,12,7,3,3,2,20,9,0,0,14,0,1,1,14,7
50000,70.0,4,0,21,4,10,2,0,0,281,5252,552,600,4,9,6,2,3,2,3,1,4,1,37,48,28,37,1,0,4,0,5,2,2,1,0,46,6,1,0,4,0,0,0,47,18
98461,130.0,11,5,31,9,39,5,0,0,105,8169,556,1300,3,15,3,2,0,0,2,0,1,0,42,30,36,28,8,1,11,2,7,2,3,5,0,34,5,0,0,11,3,4,0,79,9
58490,53.0,3,1,13,3,0,0,0,0,331,2710,1109,2800,2,5,1,0,1,0,3,0,0,0,34,31,30,24,2,1,1,0,6,2,2,0,0,10,2,0,0,5,0,1,1,61,9
54095,64.7,1,0,2,0,4,1,0,0,836,2781,489,4000,12,18,0,0,0,0,1,0,1,0,38,40,41,40,2,0,1,0,1,0,2,1,1,41,14,0,0,0,0,0,0,10,2
77205,136.0,6,4,54,18,14,4,0,0,155,9014,652,2400,9,14,3,0,3,1,2,1,1,0,36,38,32,34,1,1,8,3,11,8,3,1,0,20,11,0,0,9,5,0,0,80,42
74023,63.5,1,0,32,7,7,1,0,0,265,11690,651,4800,1,7,3,0,0,0,1,0,0,0,24,21,25,21,1,0,3,1,7,3,2,3,0,13,4,0,0,8,1,1,0,9,2
102564,117.0,4,2,38,5,22,5,0,0,455,10826,542,3500,6,6,5,2,0,0,3,1,0,0,36,38,28,33,4,0,5,3,15,6,3,3,0,19,9,0,0,13,0,2,0,13,4
58088,68.0,1,0,6,0,2,1,0,0,548,4974,1596,1400,4,16,1,0,1,0,1,1,1,0,33,37,32,37,0,0,2,0,1,0,2,0,0,8,3,0,0,2,0,0,0,17,2
89355,128.7,10,5,37,7,33,12,0,0,231,8685,73,3500,8,10,6,0,1,0,2,2,1,0,42,41,40,42,6,0,7,1,12,0,3,3,1,26,6,0,0,11,3,3,2,96,61
106578,114.0,5,1,19,2,5,3,0,0,421,933,1747,4600,2,10,0,0,2,0,1,0,3,1,28,29,29,29,0,0,1,0,2,1,3,0,0,40,10,0,0,5,1,0,0,5,4
57692,78.0,3,0,8,4,3,0,0,0,447,7550,1402,1700,18,24,4,0,2,0,0,0,0,0,40,16,35,16,1,0,1,0,1,0,2,0,0,15,4,0,0,6,2,0,0,19,1
